time,strain,temperature,stress,type,title,youngs,poissons
1114776.0,0.015752,,,,,,
1116828.0,0.01577,,,,,,
1126800.0,0.015878,,,,,,
1128888.0,0.015905,,,,,,
1131768.0,0.015927,,,,,,
1133712.0,0.015951,,,,,,
1136124.0,0.015964,,,,,,
1142820.0,0.016045,,,,,,
1148436.0,0.016104,,,,,,
1153476.0,0.016158,,,,,,
1156284.0,0.016182,,,,,,
1158588.0,0.0162,,,,,,
1162296.0,0.016229,,,,,,
1166796.0,0.016276,,,,,,
1170396.0,0.016327,,,,,,
1174428.0,0.01636,,,,,,
1178280.0,0.016398,,,,,,
1181628.0,0.016437,,,,,,
1184220.0,0.016464,,,,,,
1187028.0,0.016491,,,,,,
1188900.0,0.016506,,,,,,
1192680.0,0.016548,,,,,,
1197792.0,0.016601,,,,,,
1201536.0,0.016632,,,,,,
1208664.0,0.016709,,,,,,
1212768.0,0.016748,,,,,,
1217736.0,0.016797,,,,,,
1219644.0,0.016821,,,,,,
1221948.0,0.01684,,,,,,
1226448.0,0.016884,,,,,,
1228248.0,0.016904,,,,,,
1230660.0,0.016934,,,,,,
1233000.0,0.016953,,,,,,
1236528.0,0.016981,,,,,,
1239768.0,0.017014,,,,,,
1242468.0,0.017035,,,,,,
1244412.0,0.017067,,,,,,
1247040.0,0.017094,,,,,,
1250460.0,0.017123,,,,,,
1255860.0,0.01718,,,,,,
1258236.0,0.017199,,,,,,
1263096.0,0.017253,,,,,,
1265364.0,0.01728,,,,,,
1267704.0,0.017299,,,,,,
1271664.0,0.017338,,,,,,
1274328.0,0.01737,,,,,,
1279656.0,0.017415,,,,,,
1285020.0,0.017458,,,,,,
1289556.0,0.017516,,,,,,
1293408.0,0.017554,,,,,,
1296540.0,0.017593,,,,,,
1300968.0,0.01763,,,,,,
1304280.0,0.017663,,,,,,
1307520.0,0.017687,,,,,,
1311300.0,0.017726,,,,,,
1317096.0,0.017778,,,,,,
1321416.0,0.017823,,,,,,
1323576.0,0.017836,,,,,,
1327068.0,0.017868,,,,,,
1328868.0,0.017894,,,,,,
1332144.0,0.017933,,,,,,
1335528.0,0.017961,,,,,,
1339956.0,0.017994,,,,,,
1343088.0,0.018028,,,,,,
1346400.0,0.018057,,,,,,
1349640.0,0.018081,,,,,,
1353672.0,0.018132,,,,,,
