time,stress,temp,type,title,max_strain,strain_rate,youngs,poissons
0.2366,4.66602,25,cyclic-time-stress,cyclic-time-stress,0.015,4.30E-04,195600,0.29
28.5368,285.68243,,,,,,,,
28.6368,285.68243,,,,,,,,
28.7368,285.99423,,,,,,,,
28.8368,286.15014,,,,,,,,
28.9368,285.76036,,,,,,,,
29.0368,285.68243,,,,,,,,
29.1368,286.22808,,,,,,,,
29.2368,285.83832,,,,,,,,
29.3368,286.22808,,,,,,,,
29.4368,286.30603,,,,,,,,
29.5368,286.53988,,,,,,,,
29.6368,286.46192,,,,,,,,
29.7368,286.8517,,,,,,,,
29.8368,286.92966,,,,,,,,
29.9368,287.00759,,,,,,,,
30.0368,286.69579,,,,,,,,
30.1368,287.1635,,,,,,,,
30.2368,287.08555,,,,,,,,
30.3368,287.39735,,,,,,,,
30.4368,287.39735,,,,,,,,
30.5368,287.47531,,,,,,,,
30.6368,288.02098,,,,,,,,
30.7368,287.94302,,,,,,,,
30.8368,288.17687,,,,,,,,
30.9368,287.94302,,,,,,,,
31.0368,288.17687,,,,,,,,
31.1368,287.94302,,,,,,,,
31.2368,288.17687,,,,,,,,
31.3368,288.09891,,,,,,,,
31.4368,288.17687,,,,,,,,
31.5368,288.41074,,,,,,,,
31.6368,288.6446,,,,,,,,
31.7368,288.33276,,,,,,,,
31.8368,288.87845,,,,,,,,
31.9368,288.41074,,,,,,,,
32.0368,288.72254,,,,,,,,
32.1368,288.48869,,,,,,,,
32.2368,288.95638,,,,,,,,
32.3368,288.80047,,,,,,,,
32.4368,289.19023,,,,,,,,
32.5368,289.26821,,,,,,,,
32.6368,289.26821,,,,,,,,
32.7368,289.65794,,,,,,,,
32.8368,289.4241,,,,,,,,
32.9368,289.89179,,,,,,,,
33.0368,289.89179,,,,,,,,
33.1368,289.89179,,,,,,,,
33.2368,290.0477,,,,,,,,
33.3368,290.20364,,,,,,,,
33.4368,290.51542,,,,,,,,
33.5368,290.82724,,,,,,,,
33.6368,290.43748,,,,,,,,
33.7368,290.67133,,,,,,,,
33.8368,290.43748,,,,,,,,
33.9368,290.90518,,,,,,,,
34.0368,290.51542,,,,,,,,
34.1368,290.43748,,,,,,,,
34.2368,290.82724,,,,,,,,
34.3368,291.37289,,,,,,,,
34.4368,291.37289,,,,,,,,
34.5368,291.06111,,,,,,,,
34.6368,290.98316,,,,,,,,
34.7368,290.90518,,,,,,,,
34.8368,291.217,,,,,,,,
34.9368,291.37289,,,,,,,,
35.0368,291.5288,,,,,,,,
35.1368,291.45085,,,,,,,,
35.2368,291.91856,,,,,,,,
35.3368,291.84063,,,,,,,,
35.4368,292.15241,,,,,,,,
35.5368,292.15241,,,,,,,,
35.6368,292.38625,,,,,,,,
35.7368,292.38625,,,,,,,,
35.8368,292.15241,,,,,,,,
35.9368,289.81386,,,,,,,,
36.0368,285.21471,,,,,,,,
36.1368,279.13444,,,,,,,,
36.2368,272.82038,,,,,,,,
36.3368,266.50626,,,,,,,,
36.4368,260.27013,,,,,,,,
36.5368,253.64421,,,,,,,,
36.6368,247.09625,,,,,,,,
36.7368,240.70418,,,,,,,,
36.8368,234.15624,,,,,,,,
36.9368,227.7642,,,,,,,,
37.0368,221.37215,,,,,,,,
37.1368,214.98011,,,,,,,,
37.2368,208.74395,,,,,,,,
37.3368,201.88418,,,,,,,,
37.4368,195.02442,,,,,,,,
37.5368,188.32057,,,,,,,,
37.6368,181.53876,,,,,,,,
37.7368,175.45851,,,,,,,,
37.8368,168.75466,,,,,,,,
37.9368,162.51851,,,,,,,,
38.0368,155.97055,,,,,,,,
38.1368,149.65645,,,,,,,,
38.2368,142.71874,,,,,,,,
38.3368,136.09283,,,,,,,,
38.4368,129.62283,,,,,,,,
38.5368,123.07487,,,,,,,,
38.6368,116.91668,,,,,,,,
38.7368,110.52462,,,,,,,,
38.8368,104.36644,,,,,,,,
38.9368,98.44209,,,,,,,,
39.0368,92.20593,,,,,,,,
39.1368,86.2816,,,,,,,,
39.2368,80.20136,,,,,,,,
39.3368,74.43292,,,,,,,,
39.4368,67.96292,,,,,,,,
39.5368,62.35039,,,,,,,,
39.6368,56.42605,,,,,,,,
39.7368,50.89147,,,,,,,,
39.8368,45.20098,,,,,,,,
39.9368,39.74435,,,,,,,,
40.0368,34.28772,,,,,,,,
40.1368,29.22085,,,,,,,,
40.2368,24.23194,,,,,,,,
40.3368,19.63278,,,,,,,,
40.4368,14.64386,,,,,,,,
40.5368,10.66832,,,,,,,,
40.6368,6.38096,,,,,,,,
40.7368,2.09361,,,,,,,,
40.8368,-2.50555,,,,,,,,
40.9368,-7.02675,,,,,,,,
41.0368,-11.54796,,,,,,,,
41.1368,-16.38097,,,,,,,,
41.2368,-21.52579,,,,,,,,
41.3368,-26.28086,,,,,,,,
41.4368,-30.33435,,,,,,,,
41.5368,-34.77761,,,,,,,,
41.6368,-38.90906,,,,,,,,
41.7368,-42.33894,,,,,,,,
41.8368,-46.15858,,,,,,,,
41.9368,-50.05617,,,,,,,,
42.0368,-53.56401,,,,,,,,
42.1368,-57.07183,,,,,,,,
42.2368,-60.26786,,,,,,,,
42.3368,-63.69774,,,,,,,,
42.4368,-67.20557,,,,,,,,
42.5368,-70.4016,,,,,,,,
42.6368,-73.36377,,,,,,,,
42.7368,-76.63775,,,,,,,,
42.8368,-79.59992,,,,,,,,
42.9368,-82.56209,,,,,,,,
43.0368,-85.52426,,,,,,,,
43.1368,-88.48643,,,,,,,,
43.2368,-91.52655,,,,,,,,
43.3368,-94.021,,,,,,,,
43.4368,-96.82728,,,,,,,,
43.5368,-99.08788,,,,,,,,
43.6368,-102.05005,,,,,,,,
43.7368,-104.54451,,,,,,,,
43.8368,-106.80511,,,,,,,,
43.9368,-109.29957,,,,,,,,
44.0368,-111.63812,,,,,,,,
44.1368,-114.21053,,,,,,,,
44.2368,-116.47115,,,,,,,,
44.3368,-118.80969,,,,,,,,
44.4368,-120.99235,,,,,,,,
44.5368,-123.40885,,,,,,,,
44.6368,-125.20175,,,,,,,,
44.7368,-127.85211,,,,,,,,
44.8368,-129.645,,,,,,,,
44.9368,-132.06151,,,,,,,,
45.0368,-133.93236,,,,,,,,
45.1368,-135.88114,,,,,,,,
45.2368,-138.53151,,,,,,,,
45.3368,-140.3244,,,,,,,,
45.4368,-142.42911,,,,,,,,
45.5368,-144.06609,,,,,,,,
45.6368,-146.09284,,,,,,,,
45.7368,-147.88573,,,,,,,,
45.8368,-149.83453,,,,,,,,
45.9368,-151.70538,,,,,,,,
46.0368,-153.57622,,,,,,,,
46.1368,-155.13525,,,,,,,,
46.2368,-157.0061,,,,,,,,
46.3368,-158.95489,,,,,,,,
46.4368,-160.66983,,,,,,,,
46.5368,-162.07297,,,,,,,,
46.6368,-163.78791,,,,,,,,
46.7368,-165.269,,,,,,,,
46.8368,-166.90599,,,,,,,,
46.9368,-168.38707,,,,,,,,
47.0368,-169.55635,,,,,,,,
47.1368,-171.66104,,,,,,,,
47.2368,-172.75238,,,,,,,,
47.3368,-174.77912,,,,,,,,
47.4368,-176.02634,,,,,,,,
47.5368,-177.66334,,,,,,,,
47.6368,-178.91056,,,,,,,,
47.7368,-180.07984,,,,,,,,
47.8368,-182.02865,,,,,,,,
47.9368,-183.19792,,,,,,,,
48.0368,-184.83491,,,,,,,,
48.1368,-186.16009,,,,,,,,
48.2368,-187.25143,,,,,,,,
48.3368,-188.96637,,,,,,,,
48.4368,-190.05768,,,,,,,,
48.5368,-191.46081,,,,,,,,
