time,strain,temp,type,title,max_strain,strain_rate,youngs,poissons
0.2366,1.71E-06,25,cyclic-time-strain,cyclic-time-strain,0.015,4.30E-04,157000,0.3
36.0368,0.01477,,,,,,,,
36.1368,0.01476,,,,,,,,
36.2368,0.01472,,,,,,,,
36.3368,0.0147,,,,,,,,
36.4368,0.01464,,,,,,,,
36.5368,0.01462,,,,,,,,
36.6368,0.01457,,,,,,,,
36.7368,0.01453,,,,,,,,
36.8368,0.0145,,,,,,,,
36.9368,0.01448,,,,,,,,
37.0368,0.01444,,,,,,,,
37.1368,0.01438,,,,,,,,
37.2368,0.01435,,,,,,,,
37.3368,0.01433,,,,,,,,
37.4368,0.01428,,,,,,,,
37.5368,0.01426,,,,,,,,
37.6368,0.0142,,,,,,,,
37.7368,0.0142,,,,,,,,
37.8368,0.01413,,,,,,,,
37.9368,0.01411,,,,,,,,
38.0368,0.01406,,,,,,,,
38.1368,0.01402,,,,,,,,
38.2368,0.01398,,,,,,,,
38.3368,0.01395,,,,,,,,
38.4368,0.01392,,,,,,,,
38.5368,0.01388,,,,,,,,
38.6368,0.01384,,,,,,,,
38.7368,0.0138,,,,,,,,
38.8368,0.01378,,,,,,,,
38.9368,0.01375,,,,,,,,
39.0368,0.0137,,,,,,,,
39.1368,0.01364,,,,,,,,
39.2368,0.01361,,,,,,,,
39.3368,0.01358,,,,,,,,
39.4368,0.01353,,,,,,,,
39.5368,0.0135,,,,,,,,
39.6368,0.01347,,,,,,,,
39.7368,0.01342,,,,,,,,
39.8368,0.01338,,,,,,,,
39.9368,0.01337,,,,,,,,
40.0368,0.01331,,,,,,,,
40.1368,0.01327,,,,,,,,
40.2368,0.01322,,,,,,,,
40.3368,0.0132,,,,,,,,
40.4368,0.01316,,,,,,,,
40.5368,0.01312,,,,,,,,
40.6368,0.01307,,,,,,,,
40.7368,0.01305,,,,,,,,
40.8368,0.01302,,,,,,,,
40.9368,0.01296,,,,,,,,
41.0368,0.01293,,,,,,,,
41.1368,0.01289,,,,,,,,
41.2368,0.01285,,,,,,,,
41.3368,0.01279,,,,,,,,
41.4368,0.01276,,,,,,,,
41.5368,0.01272,,,,,,,,
41.6368,0.01267,,,,,,,,
41.7368,0.01261,,,,,,,,
41.8368,0.0126,,,,,,,,
41.9368,0.01256,,,,,,,,
42.0368,0.01252,,,,,,,,
42.1368,0.01246,,,,,,,,
42.2368,0.01243,,,,,,,,
42.3368,0.0124,,,,,,,,
42.4368,0.01234,,,,,,,,
42.5368,0.01229,,,,,,,,
42.6368,0.01225,,,,,,,,
42.7368,0.01222,,,,,,,,
42.8368,0.01215,,,,,,,,
42.9368,0.01214,,,,,,,,
43.0368,0.01211,,,,,,,,
43.1368,0.01206,,,,,,,,
43.2368,0.01203,,,,,,,,
43.3368,0.01197,,,,,,,,
43.4368,0.01194,,,,,,,,
43.5368,0.01189,,,,,,,,
43.6368,0.01184,,,,,,,,
43.7368,0.01183,,,,,,,,
43.8368,0.01178,,,,,,,,
43.9368,0.01175,,,,,,,,
44.0368,0.0117,,,,,,,,
44.1368,0.01166,,,,,,,,
44.2368,0.01162,,,,,,,,
44.3368,0.01159,,,,,,,,
44.4368,0.01154,,,,,,,,
44.5368,0.0115,,,,,,,,
44.6368,0.01147,,,,,,,,
44.7368,0.0114,,,,,,,,
44.8368,0.01136,,,,,,,,
44.9368,0.01133,,,,,,,,
45.0368,0.01131,,,,,,,,
45.1368,0.01126,,,,,,,,
45.2368,0.01121,,,,,,,,
45.3368,0.01117,,,,,,,,
45.4368,0.01112,,,,,,,,
45.5368,0.01108,,,,,,,,
45.6368,0.01102,,,,,,,,
45.7368,0.01099,,,,,,,,
45.8368,0.01095,,,,,,,,
45.9368,0.0109,,,,,,,,
46.0368,0.01087,,,,,,,,
46.1368,0.01083,,,,,,,,
46.2368,0.01081,,,,,,,,
46.3368,0.01073,,,,,,,,
46.4368,0.01072,,,,,,,,
46.5368,0.01066,,,,,,,,
46.6368,0.01063,,,,,,,,
46.7368,0.01059,,,,,,,,
46.8368,0.01053,,,,,,,,
46.9368,0.01053,,,,,,,,
47.0368,0.01047,,,,,,,,
47.1368,0.01042,,,,,,,,
47.2368,0.01038,,,,,,,,
47.3368,0.01035,,,,,,,,
47.4368,0.01031,,,,,,,,
47.5368,0.01026,,,,,,,,
47.6368,0.01023,,,,,,,,
47.7368,0.01018,,,,,,,,
47.8368,0.01014,,,,,,,,
47.9368,0.0101,,,,,,,,
48.0368,0.01005,,,,,,,,
48.1368,0.01001,,,,,,,,
48.2368,0.00997,,,,,,,,
48.3368,0.00991,,,,,,,,
48.4368,0.00988,,,,,,,,
48.5368,0.00986,,,,,,,,
48.6368,0.00979,,,,,,,,
48.7368,0.00975,,,,,,,,
48.8368,0.00973,,,,,,,,
48.9368,0.00968,,,,,,,,
49.0368,0.00964,,,,,,,,
49.1368,0.0096,,,,,,,,
49.2368,0.00956,,,,,,,,
49.3368,0.00951,,,,,,,,
49.4368,0.00947,,,,,,,,
49.5368,0.00943,,,,,,,,
49.6368,0.00941,,,,,,,,
49.7368,0.00935,,,,,,,,
49.8368,0.00931,,,,,,,,
49.9368,0.00928,,,,,,,,
50.0368,0.00923,,,,,,,,
50.1368,0.00917,,,,,,,,
50.2368,0.00914,,,,,,,,
50.3368,0.00911,,,,,,,,
50.4368,0.00905,,,,,,,,
50.5368,0.00902,,,,,,,,
50.6368,0.00897,,,,,,,,
50.7368,0.00893,,,,,,,,
50.8368,0.00891,,,,,,,,
50.9368,0.00883,,,,,,,,
51.0368,0.00882,,,,,,,,
51.1368,0.00876,,,,,,,,
51.2368,0.00873,,,,,,,,
51.3368,0.00869,,,,,,,,
51.4368,0.00865,,,,,,,,
51.5368,0.0086,,,,,,,,
51.6368,0.00853,,,,,,,,
51.7368,0.00851,,,,,,,,
51.8368,0.00846,,,,,,,,
51.9368,0.00841,,,,,,,,
52.0368,0.00838,,,,,,,,
52.1368,0.00833,,,,,,,,
52.2368,0.0083,,,,,,,,
52.3368,0.00826,,,,,,,,
52.4368,0.0082,,,,,,,,
52.5368,0.00819,,,,,,,,
52.6368,0.00813,,,,,,,,
52.7368,0.00809,,,,,,,,
52.8368,0.00803,,,,,,,,
52.9368,0.00801,,,,,,,,
53.0368,0.00798,,,,,,,,
53.1368,0.00793,,,,,,,,
53.2368,0.00787,,,,,,,,
53.3368,0.00784,,,,,,,,
53.4368,0.00779,,,,,,,,
53.5368,0.00771,,,,,,,,
53.6368,0.0077,,,,,,,,
53.7368,0.00766,,,,,,,,
53.8368,0.00761,,,,,,,,
53.9368,0.00756,,,,,,,,
54.0368,0.00752,,,,,,,,
54.1368,0.00749,,,,,,,,
54.2368,0.00745,,,,,,,,
54.3368,0.0074,,,,,,,,
54.4368,0.00736,,,,,,,,
54.5368,0.0073,,,,,,,,
54.6368,0.00729,,,,,,,,
54.7368,0.00724,,,,,,,,
54.8368,0.00719,,,,,,,,
54.9368,0.00716,,,,,,,,
55.0368,0.00712,,,,,,,,
55.1368,0.00707,,,,,,,,
55.2368,0.00703,,,,,,,,
55.3368,0.00701,,,,,,,,
55.4368,0.00694,,,,,,,,
55.5368,0.00691,,,,,,,,
55.6368,0.00687,,,,,,,,
55.7368,0.00683,,,,,,,,
55.8368,0.00679,,,,,,,,
55.9368,0.00674,,,,,,,,
56.0368,0.0067,,,,,,,,
56.1368,0.00665,,,,,,,,
56.2368,0.00661,,,,,,,,
56.3368,0.00657,,,,,,,,
56.4368,0.00654,,,,,,,,
56.5368,0.00649,,,,,,,,
56.6368,0.00645,,,,,,,,
56.7368,0.00639,,,,,,,,
56.8368,0.00637,,,,,,,,
56.9368,0.00632,,,,,,,,
57.0368,0.00629,,,,,,,,
57.1368,0.00625,,,,,,,,
57.2368,0.0062,,,,,,,,
57.3368,0.00613,,,,,,,,
57.4368,0.0061,,,,,,,,
57.5368,0.00607,,,,,,,,
57.6368,0.00601,,,,,,,,
57.7368,0.00597,,,,,,,,
57.8368,0.00594,,,,,,,,
57.9368,0.00592,,,,,,,,
58.0368,0.00586,,,,,,,,
58.1368,0.00581,,,,,,,,
58.2368,0.00578,,,,,,,,
58.3368,0.00573,,,,,,,,
58.4368,0.0057,,,,,,,,
58.5368,0.00565,,,,,,,,
58.6368,0.00563,,,,,,,,
58.7368,0.00557,,,,,,,,
58.8368,0.00552,,,,,,,,
58.9368,0.00551,,,,,,,,
59.0368,0.00545,,,,,,,,
59.1368,0.00539,,,,,,,,
59.2368,0.00537,,,,,,,,
59.3368,0.00531,,,,,,,,
59.4368,0.00527,,,,,,,,
59.5368,0.00521,,,,,,,,
59.6368,0.00519,,,,,,,,
59.7368,0.00517,,,,,,,,
59.8368,0.0051,,,,,,,,
59.9368,0.00505,,,,,,,,
60.0368,0.00502,,,,,,,,
60.1368,0.00496,,,,,,,,
60.2368,0.00493,,,,,,,,
60.3368,0.00489,,,,,,,,
60.4368,0.00484,,,,,,,,
60.5368,0.0048,,,,,,,,
60.6368,0.00475,,,,,,,,
60.7368,0.0047,,,,,,,,
60.8368,0.00468,,,,,,,,
60.9368,0.00464,,,,,,,,
61.0368,0.00458,,,,,,,,
61.1368,0.00455,,,,,,,,
61.2368,0.00451,,,,,,,,
61.3368,0.00447,,,,,,,,
61.4368,0.00442,,,,,,,,
61.5368,0.0044,,,,,,,,
61.6368,0.00436,,,,,,,,
61.7368,0.00431,,,,,,,,
61.8368,0.00424,,,,,,,,
61.9368,0.0042,,,,,,,,
62.0368,0.00419,,,,,,,,
62.1368,0.00414,,,,,,,,
62.2368,0.00409,,,,,,,,
62.3368,0.00405,,,,,,,,
62.4368,0.004,,,,,,,,
62.5368,0.00396,,,,,,,,
62.6368,0.00389,,,,,,,,
62.7368,0.00388,,,,,,,,
62.8368,0.00384,,,,,,,,
62.9368,0.00378,,,,,,,,
63.0368,0.00374,,,,,,,,
63.1368,0.00372,,,,,,,,
63.2368,0.00367,,,,,,,,
63.3368,0.00362,,,,,,,,
63.4368,0.00358,,,,,,,,
63.5368,0.00354,,,,,,,,
63.6368,0.00349,,,,,,,,
63.7368,0.00345,,,,,,,,
63.8368,0.00341,,,,,,,,
63.9368,0.00337,,,,,,,,
64.0368,0.00333,,,,,,,,
64.1368,0.00328,,,,,,,,
64.23679,0.00325,,,,,,,,
64.33679,0.00322,,,,,,,,
64.4368,0.00315,,,,,,,,
64.5368,0.00314,,,,,,,,
64.6368,0.00309,,,,,,,,
64.73679,0.00304,,,,,,,,
64.83679,0.00299,,,,,,,,
64.9368,0.00296,,,,,,,,
65.0368,0.00293,,,,,,,,
65.1368,0.00285,,,,,,,,
65.23679,0.00284,,,,,,,,
65.33679,0.00278,,,,,,,,
65.4368,0.00273,,,,,,,,
65.5368,0.0027,,,,,,,,
65.6368,0.00263,,,,,,,,
65.73699,0.00263,,,,,,,,
65.83679,0.00256,,,,,,,,
65.9368,0.00252,,,,,,,,
66.0368,0.00247,,,,,,,,
66.1368,0.00243,,,,,,,,
66.23679,0.00243,,,,,,,,
66.33679,0.00235,,,,,,,,
66.4368,0.00231,,,,,,,,
66.5368,0.00227,,,,,,,,
66.63699,0.00223,,,,,,,,
66.73679,0.00218,,,,,,,,
66.837,0.00216,,,,,,,,
66.937,0.0021,,,,,,,,
67.037,0.00206,,,,,,,,
67.1368,0.00203,,,,,,,,
67.23699,0.002,,,,,,,,
67.337,0.00193,,,,,,,,
67.437,0.00192,,,,,,,,
67.537,0.00184,,,,,,,,
67.6368,0.00181,,,,,,,,
67.73699,0.00176,,,,,,,,
67.837,0.00174,,,,,,,,
67.9368,0.00169,,,,,,,,
68.037,0.00165,,,,,,,,
68.13699,0.00163,,,,,,,,
68.23679,0.00157,,,,,,,,
68.337,0.00151,,,,,,,,
68.437,0.00147,,,,,,,,
68.537,0.00143,,,,,,,,
68.63699,0.00139,,,,,,,,
68.73699,0.00136,,,,,,,,
68.837,0.00131,,,,,,,,
68.937,0.00125,,,,,,,,
69.037,0.0012,,,,,,,,
69.1368,0.00119,,,,,,,,
69.23699,0.00112,,,,,,,,
69.337,0.00109,,,,,,,,
69.437,0.00106,,,,,,,,
69.5368,0.00104,,,,,,,,
69.63699,9.87E-04,,,,,,,,
69.73699,9.11E-04,,,,,,,,
69.83679,8.97E-04,,,,,,,,
69.937,8.49E-04,,,,,,,,
70.037,8.07E-04,,,,,,,,
70.13699,7.45E-04,,,,,,,,
70.23699,7.39E-04,,,,,,,,
70.337,6.77E-04,,,,,,,,
70.4368,6.15E-04,,,,,,,,
70.537,5.80E-04,,,,,,,,
70.63699,5.60E-04,,,,,,,,
70.73679,5.25E-04,,,,,,,,
70.837,4.56E-04,,,,,,,,
70.937,4.22E-04,,,,,,,,
71.037,3.94E-04,,,,,,,,
71.13699,3.25E-04,,,,,,,,
71.23699,2.98E-04,,,,,,,,
