strain,stress,temp,type,title,max_strain,strain_rate
0.01175,285.99423,,,,,
0.01178,286.15014,,,,,
0.01184,285.76036,,,,,
0.01188,285.68243,,,,,
0.01192,286.22808,,,,,
0.01198,285.83832,,,,,
0.01201,286.22808,,,,,
0.01205,286.30603,,,,,
0.01209,286.53988,,,,,
0.01215,286.46192,,,,,
0.0122,286.8517,,,,,
0.01223,286.92966,,,,,
0.01228,287.00759,,,,,
0.01232,286.69579,,,,,
0.01236,287.1635,,,,,
0.0124,287.08555,,,,,
0.01244,287.39735,,,,,
0.0125,287.39735,,,,,
0.01254,287.47531,,,,,
0.01257,288.02098,,,,,
0.0126,287.94302,,,,,
0.01266,288.17687,,,,,
0.0127,287.94302,,,,,
0.01274,288.17687,,,,,
0.01278,287.94302,,,,,
0.01282,288.17687,,,,,
0.01286,288.09891,,,,,
0.01289,288.17687,,,,,
0.01294,288.41074,,,,,
0.013,288.6446,,,,,
0.01303,288.33276,,,,,
0.01307,288.87845,,,,,
0.0131,288.41074,,,,,
0.01316,288.72254,,,,,
0.01319,288.48869,,,,,
0.01323,288.95638,,,,,
0.01329,288.80047,,,,,
0.01331,289.19023,,,,,
0.01338,289.26821,,,,,
0.01341,289.26821,,,,,
0.01347,289.65794,,,,,
0.01351,289.4241,,,,,
0.01353,289.89179,,,,,
0.01358,289.89179,,,,,
0.01362,289.89179,,,,,
0.01367,290.0477,,,,,
0.01371,290.20364,,,,,
0.01375,290.51542,,,,,
0.01381,290.82724,,,,,
0.01384,290.43748,,,,,
0.01388,290.67133,,,,,
0.01393,290.43748,,,,,
0.01398,290.90518,,,,,
0.014,290.51542,,,,,
0.01404,290.43748,,,,,
0.01409,290.82724,,,,,
0.01413,291.37289,,,,,
0.01417,291.37289,,,,,
0.01422,291.06111,,,,,
0.01426,290.98316,,,,,
0.0143,290.90518,,,,,
0.01434,291.217,,,,,
0.01438,291.37289,,,,,
0.01443,291.5288,,,,,
0.01447,291.45085,,,,,
0.0145,291.91856,,,,,
0.01455,291.84063,,,,,
0.01461,292.15241,,,,,
0.01465,292.15241,,,,,
0.01468,292.38625,,,,,
0.01473,292.38625,,,,,
0.01476,292.15241,,,,,
0.01479,289.81386,,,,,
0.01477,285.21471,,,,,
0.01476,279.13444,,,,,
0.01472,272.82038,,,,,
0.0147,266.50626,,,,,
0.01464,260.27013,,,,,
0.01462,253.64421,,,,,
0.01457,247.09625,,,,,
0.01453,240.70418,,,,,
0.0145,234.15624,,,,,
0.01448,227.7642,,,,,
0.01444,221.37215,,,,,
0.01438,214.98011,,,,,
0.01435,208.74395,,,,,
0.01433,201.88418,,,,,
0.01428,195.02442,,,,,
0.01426,188.32057,,,,,
0.0142,181.53876,,,,,
0.0142,175.45851,,,,,
0.01413,168.75466,,,,,
0.01411,162.51851,,,,,
0.01406,155.97055,,,,,
0.01402,149.65645,,,,,
0.01398,142.71874,,,,,
0.01395,136.09283,,,,,
0.01392,129.62283,,,,,
0.01388,123.07487,,,,,
0.01384,116.91668,,,,,
0.0138,110.52462,,,,,
0.01378,104.36644,,,,,
0.01375,98.44209,,,,,
0.0137,92.20593,,,,,
0.01364,86.2816,,,,,
0.01361,80.20136,,,,,
0.01358,74.43292,,,,,
0.01353,67.96292,,,,,
0.0135,62.35039,,,,,
0.01347,56.42605,,,,,
0.01342,50.89147,,,,,
0.01338,45.20098,,,,,
0.01337,39.74435,,,,,
0.01331,34.28772,,,,,
0.01327,29.22085,,,,,
0.01322,24.23194,,,,,
0.0132,19.63278,,,,,
0.01316,14.64386,,,,,
0.01312,10.66832,,,,,
0.01307,6.38096,,,,,
0.01305,2.09361,,,,,
0.01302,-2.50555,,,,,
0.01296,-7.02675,,,,,
0.01293,-11.54796,,,,,
0.01289,-16.38097,,,,,
0.01285,-21.52579,,,,,
0.01279,-26.28086,,,,,
0.01276,-30.33435,,,,,
0.01272,-34.77761,,,,,
0.01267,-38.90906,,,,,
0.01261,-42.33894,,,,,
0.0126,-46.15858,,,,,
0.01256,-50.05617,,,,,
0.01252,-53.56401,,,,,
0.01246,-57.07183,,,,,
0.01243,-60.26786,,,,,
0.0124,-63.69774,,,,,
0.01234,-67.20557,,,,,
0.01229,-70.4016,,,,,
0.01225,-73.36377,,,,,
0.01222,-76.63775,,,,,
0.01215,-79.59992,,,,,
0.01214,-82.56209,,,,,
0.01211,-85.52426,,,,,
0.01206,-88.48643,,,,,
0.01203,-91.52655,,,,,
0.01197,-94.021,,,,,
0.01194,-96.82728,,,,,
0.01189,-99.08788,,,,,
0.01184,-102.05005,,,,,
0.01183,-104.54451,,,,,
0.01178,-106.80511,,,,,
0.01175,-109.29957,,,,,
0.0117,-111.63812,,,,,
0.01166,-114.21053,,,,,
0.01162,-116.47115,,,,,
0.01159,-118.80969,,,,,
0.01154,-120.99235,,,,,
0.0115,-123.40885,,,,,
0.01147,-125.20175,,,,,
0.0114,-127.85211,,,,,
0.01136,-129.645,,,,,
0.01133,-132.06151,,,,,
0.01131,-133.93236,,,,,
0.01126,-135.88114,,,,,
0.01121,-138.53151,,,,,
0.01117,-140.3244,,,,,
0.01112,-142.42911,,,,,
0.01108,-144.06609,,,,,
0.01102,-146.09284,,,,,
0.01099,-147.88573,,,,,
0.01095,-149.83453,,,,,
0.0109,-151.70538,,,,,
0.01087,-153.57622,,,,,
0.01083,-155.13525,,,,,
