strain,stress,temp,type,title,medium,strain_rate,youngs,poissons
0.002171441,190.413022,,,,,,,
0.002491095,183.4564386,,,,,,,
0.002499873,184.0595508,,,,,,,
0.002506556,184.6622867,,,,,,,
0.002512341,185.2648644,,,,,,,
0.002519025,185.8676159,,,,,,,
0.002525807,186.470394,,,,,,,
0.002532491,187.0731616,,,,,,,
0.002538276,187.6757688,,,,,,,
0.002544061,188.2783829,,,,,,,
0.002549348,188.8809098,,,,,,,
0.002555432,189.4835943,,,,,,,
0.002560419,190.0860775,,,,,,,
0.002567102,190.588633,,,,,,,
0.002573187,191.2915962,,,,,,,
0.002579071,191.7940131,,,,,,,
0.002585754,192.3968483,,,,,,,
0.002590641,192.8990856,,,,,,,
0.002864194,187.2355116,,,,,,,
0.002870875,187.8384875,,,,,,,
0.002877556,188.4414714,,,,,,,
0.002883439,189.0443126,,,,,,,
0.002889521,189.6471987,,,,,,,
0.002895305,190.2500352,,,,,,,
0.002904079,190.7531587,,,,,,,
0.002910161,191.3560675,,,,,,,
0.002916543,191.9590411,,,,,,,
0.002922426,192.4616337,,,,,,,
0.002928209,193.0645063,,,,,,,
0.002933992,193.6673857,,,,,,,
0.002939874,194.0697027,,,,,,,
0.002948549,194.6731579,,,,,,,
0.003390745,185.4276732,,,,,,,
0.003399415,186.0313241,,,,,,,
0.003405196,186.634446,,,,,,,
0.003413966,187.1377927,,,,,,,
0.003419746,187.7409298,,,,,,,
0.003425626,188.3440926,,,,,,,
0.003428516,188.9466975,,,,,,,
0.003437186,189.5504016,,,,,,,
0.003443066,190.1535855,,,,,,,
0.003448846,190.7567575,,,,,,,
0.003454726,191.3599555,,,,,,,
0.003466285,191.8639038,,,,,,,
0.003472165,192.3667709,,,,,,,
0.003477945,192.9699732,,,,,,,
0.003486615,193.5737418,,,,,,,
0.003489604,194.0760684,,,,,,,
0.003498274,194.6798536,,,,,,,
0.003504153,195.2831044,,,,,,,
0.003509933,195.9866943,,,,,,,
0.003515713,196.489588,,,,,,,
0.003524482,196.9930764,,,,,,,
0.003951781,187.6400492,,,,,,,
0.003957658,188.1431347,,,,,,,
0.003966324,188.7471496,,,,,,,
0.003972101,189.451026,,,,,,,
0.003977977,189.9541323,,,,,,,
0.003986643,190.6585745,,,,,,,
0.003992519,191.1616952,,,,,,,
0.003998296,191.7652033,,,,,,,
0.004004073,192.3687184,,,,,,,
0.004012838,192.972817,,,,,,,
0.004018615,193.4759451,,,,,,,
0.004024491,194.0795016,,,,,,,
0.004030268,194.6830458,,,,,,,
0.004036044,195.2865969,,,,,,,
0.00404192,195.8901745,,,,,,,
0.004050585,196.4943072,,,,,,,
0.004068014,196.5981395,,,,,,,
0.004076779,197.2023136,,,,,,,
0.004381886,190.834385,,,,,,,
0.004390547,191.4386781,,,,,,,
0.004396422,191.9420057,,,,,,,
0.004402196,192.5457612,,,,,,,
0.004407971,193.1495237,,,,,,,
0.004413845,193.7533124,,,,,,,
0.004419619,194.3570889,,,,,,,
0.00442838,194.9614546,,,,,,,
0.004434155,195.5652468,,,,,,,
0.004439929,196.068601,,,,,,,
0.004445803,196.6724261,,,,,,,
0.004451577,197.2762386,,,,,,,
0.004460338,197.7802021,,,,,,,
0.004466112,198.3840298,,,,,,,
0.004474773,198.9884389,,,,,,,
0.004480647,199.491853,,,,,,,
0.004486421,200.0957028,,,,,,,
0.004492195,200.5991093,,,,,,,
0.004500955,201.2035733,,,,,,,
0.004506729,201.7069935,,,,,,,
0.004518377,202.1111543,,,,,,,
0.004541671,202.3167728,,,,,,,
0.004869823,195.047538,,,,,,,
0.004878481,195.6521609,,,,,,,
0.004884352,196.1557578,,,,,,,
0.004890124,196.8603214,,,,,,,
0.004895896,197.3639116,,,,,,,
0.004904653,197.9685899,,,,,,,
0.004910424,198.572686,,,,,,,
0.004916295,199.076316,,,,,,,
0.004924952,199.6810018,,,,,,,
0.004930823,200.1846456,,,,,,,
0.004939481,200.8898448,,,,,,,
0.004945252,201.4939788,,,,,,,
0.004954009,201.9982263,,,,,,,
0.00495978,202.5018782,,,,,,,
0.004968536,203.1066399,,,,,,,
0.004977193,203.7113919,,,,,,,
0.004983064,204.2150856,,,,,,,
0.004991721,204.819856,,,,,,,
0.004997591,205.3235634,,,,,,,
0.005006248,205.8278502,,,,,,,
0.005427146,196.9660682,,,,,,,
0.005435899,197.4705175,,,,,,,
0.005444551,198.0755018,,,,,,,
0.005450419,198.6799433,,,,,,,
0.005459072,199.1843994,,,,,,,
0.00546494,199.7888561,,,,,,,
0.005470708,200.3933,,,,,,,
0.005479361,200.9983306,,,,,,,
0.005488113,201.5028413,,,,,,,
0.005493881,202.0067581,,,,,,,
0.005508401,202.512453,,,,,,,
0.005520037,203.0175771,,,,,,,
0.005531672,203.4221581,,,,,,,
0.005540324,203.926696,,,,,,,
0.005549075,204.5318193,,,,,,,
0.005557727,205.1369328,,,,,,,
0.005566478,205.641519,,,,,,,
0.005572246,206.145499,,,,,,,
0.006019049,196.7808763,,,,,,,
0.006024814,197.3856366,,,,,,,
0.006033561,197.8903891,,,,,,,
0.006039326,198.4951645,,,,,,,
0.006048073,199.1005406,,,,,,,
