strain,stress,temp,type,title,medium,strain_rate
0.002884037,295.2502861,,,,,
0.002900888,295.556133,,,,,
0.002917739,295.86199,,,,,
0.00293469,296.2681806,,,,,
0.002953933,296.5747693,,,,,
0.002970783,296.8806592,,,,,
0.002988829,297.2872141,,,,,
0.003005678,297.5931263,,,,,
0.003023724,297.8994051,,,,,
0.00304147,298.2056055,,,,,
0.003059515,298.6122123,,,,,
0.003078357,298.9187638,,,,,
0.003094407,299.2244914,,,,,
0.003117137,299.5322292,,,,,
0.003136376,299.8389346,,,,,
0.003150133,300.1440059,,,,,
0.003168176,300.4503734,,,,,
0.00318901,300.8579106,,,,,
0.003207849,301.0642213,,,,,
0.003227885,301.4715466,,,,,
0.00324782,301.6782072,,,,,
0.003266659,301.984872,,,,,
0.003289882,302.2928739,,,,,
0.003309916,302.5999246,,,,,
0.003329451,302.9068365,,,,,
0.003349484,303.2139112,,,,,
0.003370713,303.4210234,,,,,
0.003391443,303.7283324,,,,,
0.003412272,304.0356843,,,,,
0.003433499,304.2428261,,,,,
0.003455025,304.5504135,,,,,
0.003477048,304.7578175,,,,,
0.003498971,305.0655504,,,,,
0.003520197,305.3730835,,,,,
0.003540924,305.5801224,,,,,
0.003563742,305.7878095,,,,,
0.003584867,306.0953465,,,,,
0.003606887,306.3028097,,,,,
0.003629605,306.6108591,,,,,
0.003653518,306.9192892,,,,,
0.003675537,307.1267838,,,,,
0.003698253,307.3345016,,,,,
0.003720271,307.5420141,,,,,
0.003743385,307.8502477,,,,,
0.003766099,308.0579951,,,,,
0.003788913,308.2657823,,,,,
0.003812822,308.4739167,,,,,
0.003835933,308.7821991,,,,,
0.003860638,308.9906012,,,,,
0.003883748,309.1985204,,,,,
0.003908452,309.5073336,,,,,
0.003933155,309.6153736,,,,,
0.003956762,309.923872,,,,,
0.003980268,310.131955,,,,,
0.004003774,310.3400474,,,,,
0.00402728,310.5481492,,,,,
0.004054768,310.7574985,,,,,
0.004078273,311.0660287,,,,,
0.00410576,311.275402,,,,,
0.004129263,311.4835456,,,,,
0.004152765,311.6916986,,,,,
0.004180251,311.9011034,,,,,
0.004203752,312.0088548,,,,,
0.004231236,312.2182782,,,,,
0.004254736,312.4264682,,,,,
0.004278235,312.6346676,,,,,
0.004305717,312.8441225,,,,,
0.004333099,313.0535573,,,,,
0.004356596,313.2617866,,,,,
0.004384076,313.3708344,,,,,
0.004407572,313.5790811,,,,,
0.004435051,313.7885868,,,,,
0.004458546,313.9968531,,,,,
0.004486023,314.1059305,,,,,
0.004509517,314.3142141,,,,,
0.004540875,314.5249807,,,,,
0.004564367,314.7332848,,,,,
0.004591841,314.8423922,,,,,
0.004615333,315.0507136,,,,,
0.004642706,315.2602683,,,,,
0.004670178,315.4698654,,,,,
0.004693667,315.5777463,,,,,
0.004721138,315.7873619,,,,,
0.004748508,315.8964811,,,,,
0.004775977,316.106116,,,,,
0.004803445,316.315762,,,,,
0.004830813,316.4249033,,,,,
0.004858279,316.6345685,,,,,
0.004881765,316.8429836,,,,,
0.00490923,316.952178,,,,,
0.004936595,317.1618413,,,,,
0.004964059,317.3715471,,,,,
0.004991422,317.480732,,,,,
0.005018884,317.6904572,,,,,
0.005046346,317.9001933,,,,,
0.005073707,318.0094002,,,,,
0.005101167,318.2191557,,,,,
0.005128527,318.3283764,,,,,
0.005155985,318.5381512,,,,,
0.005183443,318.6474173,,,,,
0.0052108,318.8571797,,,,,
0.005238256,318.9664596,,,,,
0.005265612,319.1762413,,,,,
0.005296946,319.2867736,,,,,
0.0053244,319.4966071,,,,,
0.005347875,319.6046434,,,,,
0.005375327,319.7139564,,,,,
0.005406658,319.9250577,,,,,
0.005434009,320.034353,,,,,
0.005457481,320.2429594,,,,,
0.005488809,320.3535425,,,,,
0.005516257,320.4628891,,,,,
0.005543705,320.7733529,,,,,
0.005567174,320.7808813,,,,,
0.005598499,320.9920526,,,,,
0.005629823,321.102672,,,,,
0.005657168,321.2120201,,,,,
0.005684612,321.4219757,,,,,
0.005711956,321.5313375,,,,,
0.005739398,321.7413124,,,,,
0.00576684,321.85072,,,,,
0.005798158,321.9613815,,,,,
0.005825499,322.0707685,,,,,
0.005852938,322.28078,,,,,
0.005880277,322.3901808,,,,,
0.005907715,322.4996191,,,,,
0.005935152,322.609063,,,,,
0.005962489,322.7184802,,,,,
0.005989925,322.9285359,,,,,
0.006021236,323.0392513,,,,,
0.00604857,323.1486883,,,,,
0.006076004,323.2581628,,,,,
0.006103337,323.3676108,,,,,
0.006126892,323.4758426,,,,,
0.006154224,323.5853011,,,,,
0.006181654,323.6947974,,,,,
0.006201233,323.7011348,,,,,
0.006228562,323.8106064,,,,,
0.006259866,324.021999,,,,,
0.006283319,324.1302285,,,,,
0.006310745,324.3403846,,,,,
0.006338171,324.4499159,,,,,
0.006365497,324.6600591,,,,,
0.006392922,324.7696042,,,,,
0.006420246,324.8791225,,,,,
0.006447669,325.0893255,,,,,
0.006475091,325.1988899,,,,,
0.006502413,325.4090799,,,,,
0.006529834,325.5186581,,,,,
0.006557155,325.6282095,,,,,
0.006584574,325.8384593,,,,,
0.006611993,325.9480568,,,,,
0.006635437,326.0563642,,,,,
0.006666728,326.167236,,,,,
0.006698018,326.3787861,,,,,
0.006725334,326.4883764,,,,,
0.006752749,326.6986822,,,,,
0.006784036,326.8095847,,,,,
0.00681135,326.9191946,,,,,
0.006838762,327.0288426,,,,,
0.006866174,327.138496,,,,,
0.006893485,327.2481225,,,,,
0.006924768,327.4597498,,,,,
0.006952178,327.5694229,,,,,
0.006983459,327.6803707,,,,,
0.007010767,327.7900227,,,,,
0.007038174,328.0004191,,,,,
0.007069452,328.1113881,,,,,
0.007096758,328.2210598,,,,,
0.007124163,328.4314846,,,,,
0.007155439,328.4417567,,,,,
0.007182842,328.6521988,,,,,
0.007214116,328.7632013,,,,,
0.007241418,328.9736308,,,,,
0.00727269,329.0846486,,,,,
0.007300089,329.1943982,,,,,
0.00733136,329.3054283,,,,,
0.007358659,329.4151566,,,,,
0.007386056,329.6256645,,,,,
0.007417324,329.7367158,,,,,
0.00744462,329.8464638,,,,,
0.007472015,329.95625,,,,,
0.00750328,330.0673194,,,,,
0.007534544,330.1783951,,,,,
0.007561936,330.2881987,,,,,
0.007593099,330.500016,,,,,
0.00762049,330.6098338,,,,,
0.007651751,330.720937,,,,,
0.00767914,330.8307662,,,,,
0.007710398,330.9418817,,,,,
0.007737687,331.0516895,,,,,
0.007768943,331.263597,,,,,
0.007796329,331.3734518,,,,,
0.007827584,331.4845949,,,,,
0.00785487,331.6952168,,,,,
0.007886123,331.7055834,,,,,
0.007913505,331.8154611,,,,,
0.007944757,331.9266285,,,,,
0.007972039,332.1372851,,,,,
0.008003288,332.2484678,,,,,
0.008034536,332.3596569,,,,,
0.008061915,332.4695661,,,,,
0.008093162,332.5807674,,,,,
0.00812044,332.690655,,,,,
0.008151685,332.902687,,,,,
0.00817906,332.9118005,,,,,
0.008210303,333.0230262,,,,,
0.008237677,333.2337969,,,,,
0.008268819,333.2441746,,,,,
0.008300059,333.4562522,,,,,
0.008327431,333.5662158,,,,,
0.008354801,333.6761848,,,,,
0.008386039,333.7874503,,,,,
0.008413309,333.8973977,,,,,
0.008444544,334.1095234,,,,,
0.008471912,334.2195181,,,,,
0.008503146,334.3308111,,,,,
0.008530412,334.440784,,,,,
0.00856561,334.5534161,,,,,
0.008592875,334.6634008,,,,,
0.008624105,334.7747187,,,,,
0.008651468,334.884748,,,,,
0.008682696,334.9960781,,,,,
0.008709958,335.2069604,,,,,
0.008741184,335.3183058,,,,,
0.00877241,335.4296575,,,,,
0.008799768,335.5397184,,,,,
0.008830992,335.6510823,,,,,
0.008862214,335.7624525,,,,,
0.008889471,335.8724974,,,,,
0.008920692,335.9838798,,,,,
0.008948047,336.0939694,,,,,
0.008979265,336.205364,,,,,
0.009010483,336.316765,,,,,
0.009037736,336.4268386,,,,,
0.009068952,336.5382517,,,,,
0.009100168,336.6496711,,,,,
0.009131382,336.7610968,,,,,
0.00915873,336.871227,,,,,
0.009185979,337.0822522,,,,,
0.009217191,337.1936992,,,,,
0.009244537,337.3038491,,,,,
0.009275747,337.4153083,,,,,
0.009306956,337.5267738,,,,,
0.0093343,337.5360032,,,,,
0.009365407,337.7483852,,,,,
0.009396613,337.8598692,,,,,
0.009427818,337.9713595,,,,,
0.009455159,338.08155,,,,,
0.009482499,338.191746,,,,,
0.009513701,338.3032544,,,,,
0.00954094,338.4134283,,,,,
0.009572141,338.5249489,,,,,
0.00960334,338.6364758,,,,,
0.009634538,338.7480091,,,,,
0.009661873,338.8582397,,,,,
0.00969307,339.0707592,,,,,
0.009720304,339.0799937,,,,,
0.009751499,339.1915513,,,,,
0.009782693,339.4040983,,,,,
0.009810024,339.4133746,,,,,
0.009841216,339.6259397,,,,,
0.009868446,339.7361797,,,,,
0.009903597,339.8491172,,,,,
0.009934786,339.9607154,,,,,
0.009962212,340.0710404,,,,,
0.009992904,340.1824824,,,,,
0.010020625,340.2929199,,,,,
0.010051316,340.404374,,,,,
0.010082995,340.5161714,,,,,
0.010109724,340.5252731,,,,,
0.010141402,340.7380989,,,,,
0.010172088,340.7485552,,,,,
0.010199805,340.96005,,,,,
0.01023049,340.9705125,,,,,
0.010262163,341.082344,,,,,
0.010289877,341.1928311,,,,,
0.0103166,341.302986,,,,,
0.010348271,341.4148358,,,,,
