time,dt,mCS_xx,mCS_yy,mCS_zz,mEE_xx,mEE_yy,mEE_zz,mME_xx,mME_yy,mME_zz,mTE_xx,mTE_yy,mTE_zz,ndof,nelem,num_lin_it,num_nonlin_it
0.603125,0.0001953125,-0.078869182947463,-0.077895313031345,164.4582368932,-0.00023408991306633,-0.00023408391291993,0.00077964581157341,-0.014469960779294,-0.014948171350545,0.029729604115426,-0.014469960779294,-0.014948171350545,0.029729604115426,1609870,81880,142,5
0.6033203125,0.0001953125,-0.078908581182601,-0.077934238950953,164.4610517107,-0.00023409404655312,-0.00023408804349672,0.00077965926330211,-0.014474648620242,-0.01495295849875,0.029739084292243,-0.014474648620242,-0.01495295849875,0.029739084292243,1609870,81880,143,5
0.603515625,0.0001953125,-0.07894798544226,-0.077973237069816,164.46386469515,-0.00023409817735956,-0.00023409217180087,0.00077967270645453,-0.014479336434115,-0.014957745589334,0.029748564380744,-0.014479336434115,-0.014957745589334,0.029748564380744,1609870,81880,148,5
0.6037109375,0.0001953125,-0.078987406856358,-0.078012381230588,164.466673581,-0.00023410230221227,-0.00023409629494538,0.00077968613041436,-0.014484024216448,-0.01496253261894,0.029758044368645,-0.014484024216448,-0.01496253261894,0.029758044368645,1609870,81880,135,5
0.60390625,0.0001953125,-0.079026811617189,-0.07805142648905,164.46947989011,-0.00023410642346305,-0.00023410041398122,0.00077969954199783,-0.014488711969992,-0.014967319588772,0.029767524263318,-0.014488711969992,-0.014967319588772,0.029767524263318,1609870,81880,145,5
0.6041015625,0.0001953125,-0.079066223914429,-0.078090548926506,164.47228344309,-0.00023411054072115,-0.00023410452945345,0.00077971294063952,-0.01449339969407,-0.014972106499869,0.029777004064404,-0.01449339969407,-0.014972106499869,0.029777004064404,1609870,81880,154,5
0.604296875,0.0001953125,-0.079105674181433,-0.078129464668929,164.47508312591,-0.0002341146529505,-0.00023410863838952,0.00077972632069938,-0.014498087386724,-0.014976893348834,0.029786483764917,-0.014498087386724,-0.014976893348834,0.029786483764917,1609870,81880,140,5
0.6044921875,0.0001953125,-0.079145101168023,-0.078168438114686,164.47788132651,-0.00023411876288003,-0.00023411274552473,0.00077973969378339,-0.014502775051986,-0.014981680141202,0.029795963378567,-0.014502775051986,-0.014981680141202,0.029795963378567,1609870,81880,138,5
0.6046875,0.0001953125,-0.079184529690981,-0.078207424717151,164.48067607689,-0.00023412286789262,-0.00023411684781459,0.00077975305053657,-0.014507462686315,-0.014986466873491,0.029805442894635,-0.014507462686315,-0.014986466873491,0.029805442894635,1609870,81880,150,5
0.6048828125,0.0001953125,-0.079223960211479,-0.078246871105205,164.48346785471,-0.00023412696803456,-0.00023412094805429,0.00077976639385831,-0.014512150290132,-0.014991253548526,0.029814922316428,-0.014512150290132,-0.014991253548526,0.029814922316428,1609870,81880,150,5
