x,y,type,temp,stress
90.44,0.03039,,,
90.58,0.03044,,,
90.74,0.03049,,,
90.86,0.03054,,,
90.98,0.03059,,,
91.15,0.03064,,,
91.48,0.03069,,,
91.63,0.03074,,,
91.85,0.03078,,,
92.03,0.03083,,,
92.23,0.03088,,,
92.45,0.03093,,,
92.58,0.03098,,,
92.73,0.03103,,,
92.9,0.03108,,,
93.05,0.03113,,,
93.15,0.03118,,,
93.36,0.03122,,,
93.56,0.03127,,,
93.8,0.03132,,,
93.9,0.03137,,,
94.05,0.03142,,,
94.18,0.03147,,,
94.4,0.03152,,,
94.5,0.03156,,,
94.7,0.03161,,,
94.9,0.03166,,,
95.03,0.03171,,,
95.18,0.03176,,,
95.37,0.03181,,,
95.48,0.03186,,,
95.6,0.03191,,,
95.75,0.03196,,,
95.88,0.03201,,,
96.15,0.03206,,,
96.25,0.03211,,,
96.42,0.03216,,,
96.55,0.03221,,,
96.78,0.03226,,,
96.9,0.03231,,,
97.13,0.03236,,,
97.32,0.03241,,,
97.44,0.03246,,,
97.59,0.03251,,,
97.82,0.03256,,,
98,0.03261,,,
98.2,0.03266,,,
98.55,0.03272,,,
98.74,0.03277,,,
98.9,0.03282,,,
99.12,0.03287,,,
99.37,0.03291,,,
99.49,0.03296,,,
99.65,0.03301,,,
99.79,0.03307,,,
99.99,0.03312,,,
100.27,0.03317,,,
100.42,0.03321,,,
100.57,0.03326,,,
100.84,0.03331,,,
101.02,0.03336,,,
101.21,0.03341,,,
101.29,0.03346,,,
101.51,0.03351,,,
101.64,0.03356,,,
101.72,0.03361,,,
101.86,0.03365,,,
102.02,0.0337,,,
102.17,0.03375,,,
102.29,0.0338,,,
102.44,0.03385,,,
102.77,0.0339,,,
102.86,0.03394,,,
103.01,0.03399,,,
103.14,0.03404,,,
103.31,0.03408,,,
103.37,0.03413,,,
103.52,0.03418,,,
103.62,0.03422,,,
103.86,0.03427,,,
103.99,0.03432,,,
104.08,0.03436,,,
104.31,0.03441,,,
104.54,0.03445,,,
104.68,0.0345,,,
104.89,0.03455,,,
105.11,0.03459,,,
105.23,0.03464,,,
105.39,0.03469,,,
105.61,0.03474,,,
105.78,0.03478,,,
105.98,0.03483,,,
106.23,0.03488,,,
106.53,0.03493,,,
106.68,0.03498,,,
106.76,0.03503,,,
106.96,0.03509,,,
107.16,0.03514,,,
107.3,0.03519,,,
107.45,0.03524,,,
107.7,0.03529,,,
107.8,0.03534,,,
108.03,0.03539,,,
108.25,0.03545,,,
108.41,0.0355,,,
108.55,0.03555,,,
108.65,0.0356,,,
108.91,0.03566,,,
109.03,0.03571,,,
109.2,0.03576,,,
109.35,0.03581,,,
109.48,0.03587,,,
109.63,0.03592,,,
109.76,0.03597,,,
110.12,0.03602,,,
110.23,0.03607,,,
110.45,0.03612,,,
110.72,0.03617,,,
110.9,0.03622,,,
111.07,0.03627,,,
111.37,0.03632,,,
111.45,0.03637,,,
111.65,0.03642,,,
111.77,0.03647,,,
112.02,0.03651,,,
112.22,0.03656,,,
112.45,0.03661,,,
112.58,0.03666,,,
112.72,0.0367,,,
112.82,0.03675,,,
113.08,0.0368,,,
113.2,0.03685,,,
113.35,0.03689,,,
113.45,0.03694,,,
113.62,0.03699,,,
113.82,0.03704,,,
113.92,0.03709,,,
114.14,0.03713,,,
114.25,0.03718,,,
114.42,0.03723,,,
114.69,0.03728,,,
114.89,0.03733,,,
115.04,0.03738,,,
115.17,0.03742,,,
115.3,0.03747,,,
115.49,0.03752,,,
115.6,0.03757,,,
115.74,0.03762,,,
115.97,0.03767,,,
116.19,0.03772,,,
116.35,0.03777,,,
116.52,0.03782,,,
116.71,0.03787,,,
116.82,0.03792,,,
117.04,0.03798,,,
117.16,0.03803,,,
117.36,0.03808,,,
117.72,0.03813,,,
117.84,0.03818,,,
117.97,0.03824,,,
118.12,0.03829,,,
118.49,0.03834,,,
118.76,0.0384,,,
118.94,0.03845,,,
119.06,0.03851,,,
119.36,0.03856,,,
119.51,0.03862,,,
119.73,0.03868,,,
119.83,0.03873,,,
