x,y,type,temp,stress
147.33,1.5112,,,
147.86,1.5153,,,
148.35,1.5193,,,
148.67,1.5219,,,
148.92,1.5242,,,
149.53,1.5299,,,
150,1.5321,,,
150.37,1.5359,,,
150.85,1.5406,,,
151.25,1.5439,,,
151.6,1.5468,,,
151.9,1.5491,,,
152.3,1.5536,,,
152.6,1.5553,,,
152.85,1.5574,,,
153.27,1.5613,,,
153.85,1.5656,,,
154.45,1.5691,,,
154.99,1.5752,,,
155.42,1.5784,,,
155.87,1.5828,,,
156.19,1.584,,,
156.79,1.5908,,,
157.22,1.5928,,,
157.48,1.5956,,,
157.76,1.5984,,,
158.06,1.5993,,,
158.31,1.6023,,,
158.66,1.6045,,,
159.38,1.6116,,,
159.69,1.6137,,,
160.11,1.6166,,,
160.58,1.6202,,,
161.03,1.6255,,,
161.46,1.628,,,
161.75,1.6304,,,
162.58,1.6385,,,
163.01,1.6415,,,
163.4,1.6444,,,
163.78,1.6474,,,
164.2,1.651,,,
164.57,1.6532,,,
164.92,1.6573,,,
165.32,1.6602,,,
165.63,1.6618,,,
165.97,1.6665,,,
166.43,1.6682,,,
166.87,1.6724,,,
167.2,1.6744,,,
167.7,1.678,,,
168.32,1.6837,,,
168.57,1.6868,,,
168.95,1.689,,,
169.5,1.6936,,,
169.86,1.6956,,,
170.34,1.6996,,,
170.62,1.7025,,,
171.07,1.7061,,,
171.72,1.7107,,,
172.19,1.7151,,,
172.51,1.7178,,,
173.13,1.7232,,,
173.38,1.7249,,,
173.74,1.7283,,,
174.03,1.7301,,,
174.29,1.7337,,,
174.84,1.7367,,,
175.23,1.7396,,,
175.86,1.7459,,,
176.21,1.7479,,,
176.48,1.7507,,,
176.86,1.7533,,,
177.36,1.7582,,,
178.03,1.7628,,,
178.3,1.7659,,,
178.93,1.7704,,,
179.25,1.7731,,,
179.52,1.7748,,,
179.93,1.7783,,,
180.65,1.7842,,,
181.47,1.7906,,,
182.05,1.7962,,,
182.42,1.7981,,,
182.87,1.8019,,,
183.15,1.8047,,,
183.55,1.8071,,,
183.89,1.8109,,,
184.14,1.8123,,,
184.49,1.8159,,,
184.79,1.8186,,,
185.12,1.8205,,,
185.46,1.8229,,,
186.09,1.8285,,,
186.59,1.8318,,,
187.01,1.8355,,,
187.78,1.8414,,,
188.21,1.8437,,,
188.58,1.8479,,,
189.34,1.8538,,,
189.68,1.8569,,,
190.11,1.8604,,,
190.38,1.862,,,
190.86,1.8667,,,
191.3,1.8698,,,
191.61,1.8729,,,
191.86,1.8745,,,
192.33,1.8796,,,
192.65,1.8818,,,
193.2,1.8863,,,
193.48,1.8889,,,
193.9,1.8912,,,
194.57,1.8963,,,
195.17,1.9017,,,
195.6,1.9054,,,
195.93,1.9072,,,
196.25,1.9104,,,
197.02,1.9158,,,
197.7,1.9224,,,
198.02,1.9252,,,
198.37,1.9275,,,
198.92,1.9321,,,
199.2,1.9347,,,
199.49,1.937,,,
199.94,1.9403,,,
200.32,1.9428,,,
200.94,1.9491,,,
201.27,1.9505,,,
201.91,1.9564,,,
202.46,1.9599,,,
202.93,1.9646,,,
203.24,1.9655,,,
203.84,1.9706,,,
204.26,1.9746,,,
204.54,1.9767,,,
204.88,1.9798,,,
205.14,1.9814,,,
205.48,1.9852,,,
205.85,1.9881,,,
206.38,1.9916,,,
206.83,1.9953,,,
207.13,1.9976,,,
207.41,2.001,,,
207.73,2.0033,,,
208.05,2.0058,,,
208.33,2.0069,,,
208.62,2.0099,,,
209.07,2.0121,,,
209.42,2.0156,,,
209.78,2.0174,,,
210.35,2.0227,,,
210.7,2.0249,,,
211,2.0285,,,
211.37,2.0307,,,
211.85,2.0353,,,
212.1,2.0366,,,
212.74,2.0412,,,
213.35,2.0472,,,
213.62,2.0487,,,
213.92,2.0507,,,
214.27,2.0533,,,
214.62,2.0572,,,
215.12,2.0611,,,
215.62,2.0642,,,
215.97,2.0669,,,
216.31,2.0682,,,
216.97,2.0757,,,
217.51,2.0792,,,
217.83,2.0818,,,
218.36,2.086,,,
218.74,2.0891,,,
219.16,2.0926,,,
219.83,2.0983,,,
220.31,2.1014,,,
220.65,2.1048,,,
221.21,2.1091,,,
221.5,2.1118,,,
221.91,2.1142,,,
222.33,2.1179,,,
222.65,2.1199,,,
223.3,2.1253,,,
223.62,2.1285,,,
223.95,2.1317,,,
224.25,2.133,,,
224.87,2.1384,,,
225.15,2.1409,,,
225.4,2.1426,,,
225.68,2.1447,,,
