x,y,type,temp,stress
148.46,0.02465,,,
148.71,0.0247,,,
148.96,0.02475,,,
149.41,0.0248,,,
149.91,0.02485,,,
150.52,0.0249,,,
150.81,0.02496,,,
151.43,0.02501,,,
151.79,0.02506,,,
152.04,0.02511,,,
152.41,0.02516,,,
152.79,0.02521,,,
153.04,0.02526,,,
153.38,0.02531,,,
153.51,0.02535,,,
154.21,0.0254,,,
154.53,0.02545,,,
155.03,0.0255,,,
155.43,0.02555,,,
155.8,0.02559,,,
156.01,0.02564,,,
156.45,0.02569,,,
156.88,0.02574,,,
157.3,0.02579,,,
157.6,0.02584,,,
157.98,0.02589,,,
158.28,0.02594,,,
158.73,0.02599,,,
158.95,0.02603,,,
159.15,0.02608,,,
159.42,0.02613,,,
159.52,0.02618,,,
159.78,0.02623,,,
160.18,0.02628,,,
160.63,0.02633,,,
161.02,0.02638,,,
161.3,0.02643,,,
161.57,0.02648,,,
161.95,0.02653,,,
162.19,0.02658,,,
162.52,0.02663,,,
162.87,0.02668,,,
163.12,0.02674,,,
163.59,0.02679,,,
164.16,0.02684,,,
164.41,0.02689,,,
164.87,0.02694,,,
165.11,0.02699,,,
165.51,0.02705,,,
166.04,0.0271,,,
166.64,0.02715,,,
167.02,0.0272,,,
167.33,0.02726,,,
167.74,0.02731,,,
168.44,0.02737,,,
168.79,0.02742,,,
169.28,0.02747,,,
169.71,0.02753,,,
170.16,0.02758,,,
170.43,0.02763,,,
170.81,0.02769,,,
171.11,0.02774,,,
171.33,0.02779,,,
171.71,0.02785,,,
172,0.0279,,,
172.38,0.02795,,,
172.83,0.02801,,,
173.18,0.02806,,,
173.62,0.02811,,,
174.15,0.02816,,,
174.62,0.02821,,,
175.02,0.02826,,,
175.23,0.02831,,,
175.72,0.02836,,,
176,0.02841,,,
176.38,0.02846,,,
176.68,0.02851,,,
176.82,0.02856,,,
177.1,0.02861,,,
177.34,0.02865,,,
177.65,0.0287,,,
177.94,0.02874,,,
178.6,0.02879,,,
178.89,0.02884,,,
179.2,0.02888,,,
179.59,0.02893,,,
179.79,0.02898,,,
180.12,0.02902,,,
180.72,0.02907,,,
180.99,0.02911,,,
181.22,0.02916,,,
181.59,0.02921,,,
181.86,0.02926,,,
182.24,0.02931,,,
182.57,0.02936,,,
183.18,0.0294,,,
183.44,0.02945,,,
183.74,0.0295,,,
184.09,0.02955,,,
184.36,0.0296,,,
184.78,0.02965,,,
185.53,0.0297,,,
185.78,0.02975,,,
186.03,0.0298,,,
186.38,0.02985,,,
186.65,0.0299,,,
187.08,0.02995,,,
187.58,0.03,,,
187.83,0.03005,,,
188.25,0.0301,,,
188.48,0.03015,,,
189.01,0.0302,,,
